r,g,b,x,y,h,s,v
53,23,27,46,3479323,352.0,0.5660377358490566,0.20784313725490197
33,31,44,47,2170668,249.23076923076925,0.29545454545454547,0.17254901960784313
32,28,36,48,2104356,270.0,0.2222222222222222,0.1411764705882353
37,29,37,49,2432293,300.0,0.21621621621621628,0.1450980392156863
46,23,17,50,3020561,12.413793103448256,0.6304347826086957,0.1803921568627451
149,124,89,51,9796697,35.0,0.40268456375838935,0.5843137254901961
43,39,57,52,2828089,253.33333333333334,0.3157894736842105,0.2235294117647059
65,50,45,53,4272685,15.0,0.3076923076923076,0.2549019607843137
81,53,49,54,5322033,7.5,0.39506172839506165,0.3176470588235294
59,45,43,55,3878187,7.5,0.2711864406779661,0.23137254901960785
68,55,56,56,4470584,355.3846153846154,0.19117647058823525,0.26666666666666666
21,22,35,57,1381923,235.71428571428572,0.4000000000000001,0.13725490196078433
25,28,48,58,1645616,232.17391304347825,0.4791666666666667,0.18823529411764706
8,11,32,59,527136,232.5,0.75,0.12549019607843137
12,22,45,60,792109,221.8181818181818,0.7333333333333334,0.17647058823529413
28,33,52,61,1843508,227.5,0.46153846153846156,0.20392156862745098
24,35,58,62,1581882,220.58823529411762,0.5862068965517241,0.22745098039215686
44,48,108,63,2895980,236.25,0.5925925925925926,0.4235294117647059
44,49,102,64,2896230,234.82758620689654,0.5686274509803921,0.4
33,37,80,65,2172240,234.89361702127658,0.5874999999999999,0.3137254901960784
48,55,108,66,3159916,233.0,0.5555555555555556,0.4235294117647059
66,92,160,67,4349088,223.40425531914894,0.5874999999999999,0.6274509803921569
52,71,162,68,3426210,229.63636363636363,0.6790123456790124,0.6352941176470588
27,58,183,69,1784503,228.07692307692307,0.8524590163934427,0.7176470588235294
53,41,147,70,3484051,246.79245283018867,0.7210884353741497,0.5764705882352941
62,110,134,71,4091526,200.0,0.5373134328358209,0.5254901960784314
13,34,86,72,860758,222.73972602739727,0.8488372093023256,0.33725490196078434
43,58,104,73,2833000,225.24590163934425,0.5865384615384615,0.40784313725490196
