r,g,b,x,y,h,s,v
17,20,35,45,1119267,230.0,0.5142857142857143,0.13725490196078433
73,51,38,46,4797222,22.285714285714278,0.4794520547945205,0.28627450980392155
103,73,60,47,6768956,18.1395348837209,0.41747572815533984,0.403921568627451
103,76,74,48,6769738,4.137931034482733,0.28155339805825236,0.403921568627451
91,69,78,49,5981518,335.45454545454544,0.24175824175824182,0.3568627450980392
93,72,63,50,6113343,18.0,0.32258064516129026,0.36470588235294116
83,93,104,51,5463400,211.42857142857144,0.2019230769230769,0.40784313725490196
129,119,147,52,8484755,261.42857142857144,0.19047619047619038,0.5764705882352941
94,73,63,53,6179135,19.35483870967738,0.3297872340425532,0.3686274509803922
93,58,73,54,6109769,334.2857142857143,0.3763440860215054,0.36470588235294116
119,63,71,55,7814983,351.42857142857144,0.47058823529411764,0.4666666666666667
99,52,77,56,6501453,328.0851063829787,0.47474747474747475,0.38823529411764707
86,56,72,57,5650504,328.0,0.34883720930232565,0.33725490196078434
103,61,56,58,6765880,6.382978723404278,0.4563106796116505,0.403921568627451
118,65,57,59,7749945,7.868852459016409,0.5169491525423728,0.4627450980392157
66,43,56,60,4336440,326.0869565217391,0.3484848484848485,0.25882352941176473
174,76,70,61,11422790,3.461538461538453,0.5977011494252873,0.6823529411764706
70,100,95,62,4613215,170.0,0.29999999999999993,0.39215686274509803
57,83,81,63,3756881,175.38461538461536,0.3132530120481928,0.3254901960784314
54,54,49,64,3552817,60.0,0.09259259259259253,0.21176470588235294
105,104,91,65,6907995,55.71428571428572,0.13333333333333328,0.4117647058823529
24,22,23,66,1578519,330.0,0.08333333333333333,0.09411764705882353
10,14,30,67,658974,228.0,0.6666666666666666,0.11764705882352941
29,29,30,68,1907998,240.0,0.03333333333333333,0.11764705882352941
16,15,15,69,1052431,0.0,0.0625,0.06274509803921569
41,42,35,70,2697763,68.57142857142856,0.16666666666666657,0.16470588235294117
25,24,36,71,1644580,245.0,0.3333333333333333,0.1411764705882353
74,53,66,72,4863298,322.85714285714283,0.2837837837837838,0.2901960784313726
73,47,89,73,4796249,277.1428571428571,0.4719101123595505,0.34901960784313724
41,23,53,74,2692917,276.0,0.5660377358490566,0.20784313725490197
60,41,45,75,3942701,347.36842105263156,0.3166666666666666,0.23529411764705882
137,138,70,76,9013830,60.882352941176464,0.4927536231884057,0.5411764705882353
84,61,70,77,5520710,336.52173913043475,0.2738095238095238,0.32941176470588235
91,72,86,78,5982294,315.7894736842105,0.20879120879120883,0.3568627450980392
58,44,49,79,3812401,338.57142857142856,0.2413793103448276,0.22745098039215686
22,14,13,80,1445389,6.666666666666686,0.4090909090909091,0.08627450980392157
67,47,29,81,4402973,28.42105263157896,0.5671641791044777,0.2627450980392157
51,30,26,82,3350042,9.600000000000023,0.4901960784313726,0.2
43,25,21,83,2824469,10.909090909090935,0.5116279069767442,0.16862745098039217
29,23,11,84,1906443,40.0,0.6206896551724138,0.11372549019607843
36,24,17,85,2365457,22.10526315789474,0.5277777777777778,0.1411764705882353
27,19,19,86,1774355,0.0,0.2962962962962963,0.10588235294117647
16,16,29,87,1052701,240.0,0.4482758620689655,0.11372549019607843
24,19,25,88,1577753,290.0,0.24,0.09803921568627451
99,92,41,89,6511657,52.758620689655174,0.5858585858585859,0.38823529411764707
50,42,36,90,3287588,25.714285714285722,0.28,0.19607843137254902
42,29,24,91,2759960,16.666666666666686,0.42857142857142855,0.16470588235294117
95,86,40,92,6247976,50.18181818181819,0.5789473684210527,0.37254901960784315
57,45,25,93,3747097,37.5,0.5614035087719298,0.2235294117647059
63,42,70,94,4139590,285.0,0.4000000000000001,0.27450980392156865
75,72,87,95,4933719,252.0,0.17241379310344832,0.3411764705882353
66,45,57,96,4336953,325.7142857142857,0.3181818181818182,0.25882352941176473
112,97,70,97,7364934,38.571428571428555,0.37499999999999994,0.4392156862745098
77,75,50,98,5065522,55.55555555555554,0.3506493506493506,0.30196078431372547
72,37,28,99,4728092,12.272727272727252,0.6111111111111112,0.2823529411764706
83,71,31,100,5457695,46.15384615384613,0.6265060240963856,0.3254901960784314
102,77,45,101,6704429,33.68421052631578,0.5588235294117647,0.4
