r,g,b,x,y,h,s,v
62,82,85,47,4084309,187.82608695652172,0.27058823529411763,0.3333333333333333
59,82,86,48,3887702,188.88888888888889,0.313953488372093,0.33725490196078434
78,97,96,49,5136736,176.84210526315792,0.1958762886597937,0.3803921568627451
45,48,49,50,2961457,195.00000000000006,0.08163265306122448,0.19215686274509805
63,67,65,51,4145985,149.9999999999999,0.05970149253731343,0.2627450980392157
86,76,76,52,5655628,0.0,0.11627906976744193,0.33725490196078434
72,53,59,53,4732219,341.05263157894734,0.26388888888888884,0.2823529411764706
133,115,113,54,8745841,6.0,0.15037593984962416,0.5215686274509804
119,102,105,55,7825001,349.4117647058824,0.14285714285714282,0.4666666666666667
67,62,66,56,4406850,311.99999999999994,0.07462686567164184,0.2627450980392157
62,59,67,57,4078403,262.5,0.11940298507462686,0.2627450980392157
105,102,95,58,6907487,42.00000000000006,0.09523809523809518,0.4117647058823529
79,76,72,59,5196872,34.28571428571428,0.0886075949367089,0.30980392156862746
43,61,73,60,2833737,204.0,0.41095890410958896,0.28627450980392155
23,33,48,61,1515824,216.0,0.5208333333333334,0.18823529411764706
87,77,102,62,5721446,264.0,0.24509803921568638,0.4
72,64,96,63,4735072,255.0,0.3333333333333333,0.3764705882352941
76,75,93,64,5000029,243.33333333333331,0.19354838709677413,0.36470588235294116
99,89,91,65,6510939,347.99999999999994,0.10101010101010108,0.38823529411764707
113,107,108,66,7433068,350.0,0.0530973451327433,0.44313725490196076
122,105,117,67,8022389,317.64705882352945,0.13934426229508204,0.47843137254901963
118,98,104,68,7758440,342.0,0.1694915254237288,0.4627450980392157
59,44,53,69,3877941,324.0,0.25423728813559326,0.23137254901960785
79,79,83,70,5197651,240.0,0.048192771084337345,0.3254901960784314
70,70,81,71,4605521,240.0,0.13580246913580235,0.3176470588235294
85,81,86,72,5591382,287.9999999999999,0.05813953488372105,0.33725490196078434
69,74,85,73,4541013,221.24999999999997,0.18823529411764706,0.3333333333333333
85,91,84,74,5593940,111.42857142857146,0.07692307692307696,0.3568627450980392
86,89,100,75,5658980,227.14285714285717,0.13999999999999993,0.39215686274509803
89,94,106,76,5856874,222.35294117647055,0.16037735849056614,0.41568627450980394
91,96,94,77,5988446,156.00000000000006,0.052083333333333294,0.3764705882352941
88,85,83,78,5789011,23.999999999999943,0.056818181818181775,0.34509803921568627
56,57,49,79,3684657,67.50000000000003,0.14035087719298245,0.2235294117647059
133,118,99,80,8746595,33.529411764705856,0.25563909774436094,0.5215686274509804
32,36,47,81,2106415,224.0,0.31914893617021284,0.1843137254901961
128,112,102,82,8417382,23.076923076923094,0.20312499999999994,0.5019607843137255
105,96,92,83,6905948,18.461538461538453,0.12380952380952379,0.4117647058823529
78,73,67,84,5130563,32.72727272727269,0.14102564102564105,0.3058823529411765
94,81,74,85,6181194,20.999999999999943,0.21276595744680848,0.3686274509803922
146,116,98,86,9598050,22.5,0.32876712328767116,0.5725490196078431
149,129,108,87,9797996,30.731707317073187,0.2751677852348994,0.5843137254901961
122,110,110,88,8023662,0.0,0.09836065573770492,0.47843137254901963
156,136,108,89,10258540,35.0,0.30769230769230776,0.611764705882353
94,95,81,90,6184785,64.28571428571428,0.14736842105263165,0.37254901960784315
116,111,112,91,7630704,348.00000000000006,0.04310344827586204,0.4549019607843137
118,104,84,92,7759956,35.29411764705884,0.28813559322033905,0.4627450980392157
99,94,91,93,6512219,22.5,0.0808080808080808,0.38823529411764707
114,106,100,94,7498340,25.714285714285722,0.1228070175438597,0.4470588235294118
151,138,129,95,9931393,24.545454545454504,0.14569536423841065,0.592156862745098
136,133,141,96,8947085,262.49999999999994,0.05673758865248227,0.5529411764705883
133,155,182,97,8756150,213.06122448979593,0.2692307692307692,0.7137254901960784
103,88,80,98,6772816,20.86956521739131,0.22330097087378645,0.403921568627451
144,102,115,99,9463411,341.42857142857144,0.29166666666666663,0.5647058823529412
102,86,80,100,6706768,16.363636363636374,0.215686274509804,0.4
99,103,102,101,6514534,165.00000000000006,0.038834951456310676,0.403921568627451
55,52,51,102,3617843,14.999999999999943,0.07272727272727272,0.21568627450980393
151,137,116,103,9931124,36.0,0.2317880794701987,0.592156862745098
110,105,103,104,7235943,17.142857142857054,0.06363636363636366,0.43137254901960786
119,109,104,105,7826792,20.0,0.12605042016806725,0.4666666666666667
116,113,108,106,7631212,37.5,0.06896551724137931,0.4549019607843137
102,106,109,107,6711917,205.71428571428567,0.06422018348623844,0.42745098039215684
102,95,98,108,6709090,334.2857142857143,0.06862745098039219,0.4
68,70,82,109,4474450,231.4285714285714,0.17073170731707324,0.3215686274509804
149,137,130,110,9800066,22.10526315789474,0.12751677852349005,0.5843137254901961
86,84,82,111,5657682,29.999999999999886,0.046511627906976744,0.33725490196078434
101,106,110,112,6646382,206.66666666666663,0.08181818181818191,0.43137254901960786
70,79,92,113,4607836,215.45454545454547,0.23913043478260862,0.3607843137254902
91,91,94,114,5987166,240.0,0.03191489361702131,0.3686274509803922
108,92,95,115,7101535,348.75,0.14814814814814814,0.4235294117647059
106,94,98,116,6970978,340.0,0.11320754716981131,0.41568627450980394
134,126,121,117,8814201,23.076923076923094,0.0970149253731344,0.5254901960784314
103,110,115,118,6778483,205.0,0.10434782608695652,0.45098039215686275
80,87,93,119,5265245,207.69230769230768,0.1397849462365591,0.36470588235294116
85,96,105,120,5595241,207.0,0.1904761904761905,0.4117647058823529
73,89,100,121,4807012,204.44444444444446,0.27,0.39215686274509803
66,87,126,122,4347774,219.0,0.47619047619047616,0.49411764705882355
88,76,89,123,5786713,295.3846153846154,0.14606741573033705,0.34901960784313724
126,115,120,124,8287096,332.72727272727275,0.08730158730158732,0.49411764705882355
126,110,122,125,8285818,315.0,0.12698412698412698,0.49411764705882355
119,102,123,126,7825019,288.57142857142856,0.17073170731707313,0.4823529411764706
126,113,121,127,8286585,323.0769230769231,0.10317460317460325,0.49411764705882355
74,65,81,128,4866385,273.75000000000006,0.19753086419753088,0.3176470588235294
109,112,150,129,7172246,235.60975609756096,0.2733333333333334,0.5882352941176471
106,83,106,130,6968170,300.0,0.2169811320754717,0.41568627450980394
99,76,105,131,6507625,287.58620689655174,0.27619047619047615,0.4117647058823529
101,108,141,132,6646925,229.5,0.2836879432624114,0.5529411764705883
114,110,119,133,7499383,266.6666666666667,0.0756302521008403,0.4666666666666667
40,36,64,134,2630720,248.57142857142858,0.4375,0.25098039215686274
55,49,65,135,3617089,262.5,0.24615384615384606,0.2549019607843137
54,44,68,136,3550276,265.0,0.35294117647058826,0.26666666666666666
64,60,86,137,4209750,249.23076923076923,0.3023255813953489,0.33725490196078434
70,66,93,138,4604509,248.88888888888889,0.2903225806451612,0.36470588235294116
56,55,73,139,3684169,243.33333333333331,0.24657534246575333,0.28627450980392155
61,58,88,140,4012632,246.0,0.3409090909090909,0.34509803921568627
54,54,74,141,3552842,240.0,0.27027027027027034,0.2901960784313726
55,52,71,142,3617863,249.47368421052633,0.26760563380281693,0.2784313725490196
67,93,128,143,4414848,214.42622950819674,0.4765625,0.5019607843137255
91,92,111,144,5987439,237.0,0.18018018018018017,0.43529411764705883
104,71,45,145,6833965,26.440677966101703,0.5673076923076923,0.40784313725490196
86,51,37,146,5649189,17.142857142857167,0.5697674418604651,0.33725490196078434
89,69,48,147,5850416,30.731707317073187,0.46067415730337075,0.34901960784313724
73,64,54,148,4800566,31.57894736842104,0.2602739726027397,0.28627450980392155
77,72,67,149,5064771,30.0,0.12987012987012977,0.30196078431372547
64,53,39,150,4207911,33.60000000000002,0.39062499999999994,0.25098039215686274
113,104,87,151,7432279,39.230769230769226,0.23008849557522118,0.44313725490196076
71,52,33,152,4666401,30.0,0.5352112676056338,0.2784313725490196
94,85,67,153,6182211,40.0,0.2872340425531915,0.3686274509803922
107,98,77,154,7037517,42.0,0.28037383177570097,0.4196078431372549
71,59,46,155,4668206,31.19999999999999,0.35211267605633806,0.2784313725490196
85,71,59,156,5588795,27.69230769230768,0.3058823529411764,0.3333333333333333
91,74,65,157,5982785,20.769230769230774,0.28571428571428575,0.3568627450980392
61,83,81,158,4019025,174.54545454545453,0.2650602409638554,0.3254901960784314
77,79,68,159,5066564,70.90909090909095,0.13924050632911397,0.30980392156862746
100,116,127,160,6583423,204.44444444444446,0.2125984251968504,0.4980392156862745
67,125,117,161,4423029,171.72413793103448,0.46399999999999997,0.49019607843137253
45,86,82,162,2971218,174.14634146341464,0.47674418604651164,0.33725490196078434
70,91,96,163,4610912,191.53846153846155,0.27083333333333326,0.3764705882352941
27,23,32,164,1775392,266.6666666666667,0.28125,0.12549019607843137
24,21,52,165,1578292,245.80645161290323,0.5961538461538461,0.20392156862745098
45,15,33,166,2952993,324.0,0.6666666666666667,0.17647058823529413
62,18,26,167,4067866,349.09090909090907,0.7096774193548387,0.24313725490196078
57,101,97,168,3761505,174.54545454545456,0.4356435643564356,0.396078431372549
96,111,108,169,6319980,168.0,0.13513513513513517,0.43529411764705883
93,101,106,170,6120810,203.0769230769231,0.12264150943396236,0.41568627450980394
90,111,108,171,5926764,171.42857142857142,0.18918918918918914,0.43529411764705883
138,151,156,172,9082780,196.66666666666669,0.11538461538461552,0.611764705882353
115,125,131,173,7568771,202.5,0.12213740458015257,0.5137254901960784
90,82,73,174,5919305,31.764705882352985,0.188888888888889,0.35294117647058826
132,132,131,175,8684675,60.0,0.0075757575757577625,0.5176470588235295
93,113,90,176,6123866,112.17391304347828,0.20353982300884946,0.44313725490196076
110,110,109,177,7237229,60.0,0.009090909090909188,0.43137254901960786
115,118,132,178,7566980,229.41176470588235,0.12878787878787887,0.5176470588235295
110,113,124,179,7238012,227.14285714285717,0.11290322580645155,0.48627450980392156
80,103,103,180,5269351,180.0,0.22330097087378645,0.403921568627451
123,146,155,181,8098459,196.875,0.20645161290322572,0.6078431372549019
21,37,49,182,1385777,205.71428571428572,0.5714285714285715,0.19215686274509805
120,114,115,183,7893619,350.0,0.04999999999999994,0.47058823529411764
69,67,74,184,4539210,257.14285714285705,0.09459459459459463,0.2901960784313726
79,61,64,185,5193024,350.0,0.22784810126582278,0.30980392156862746
85,80,84,186,5591124,311.99999999999994,0.05882352941176466,0.3333333333333333
106,106,95,187,6974047,60.0,0.10377358490566041,0.41568627450980394
97,96,86,188,6381654,54.54545454545456,0.11340206185566999,0.3803921568627451
65,57,74,189,4274506,268.235294117647,0.22972972972972974,0.2901960784313726
75,58,80,190,4930128,286.3636363636364,0.275,0.3137254901960784
153,138,131,191,10062467,19.090909090909122,0.14379084967320266,0.6
176,156,139,192,11574411,27.567567567567608,0.2102272727272728,0.6901960784313725
84,73,73,193,5523785,0.0,0.130952380952381,0.32941176470588235
123,115,118,194,8090486,337.5,0.06504065040650406,0.4823529411764706
52,48,54,195,3420214,280.0,0.1111111111111111,0.21176470588235294
139,119,102,196,9140070,27.56756756756755,0.26618705035971213,0.5450980392156862
45,58,75,197,2964043,214.0,0.39999999999999997,0.29411764705882354
40,56,82,198,2635858,217.14285714285714,0.5121951219512195,0.3215686274509804
121,123,136,199,7961480,231.99999999999997,0.11029411764705885,0.5333333333333333
30,40,53,200,1976373,213.91304347826087,0.4339622641509434,0.20784313725490197
135,144,138,201,8884362,139.99999999999994,0.06249999999999997,0.5647058823529412
98,109,115,202,6450547,201.17647058823533,0.1478260869565217,0.45098039215686275
46,60,62,203,3030078,187.5,0.25806451612903225,0.24313725490196078
102,110,131,204,6712963,223.44827586206895,0.2213740458015266,0.5137254901960784
71,88,88,205,4675672,180.0,0.19318181818181815,0.34509803921568627
127,136,153,206,8358041,219.23076923076923,0.16993464052287577,0.6
98,119,127,207,6453119,196.55172413793105,0.22834645669291334,0.4980392156862745
95,110,109,208,6254189,175.99999999999994,0.13636363636363638,0.43137254901960786
88,71,48,209,5785392,34.5,0.45454545454545453,0.34509803921568627
77,125,135,210,5078407,190.34482758620692,0.4296296296296297,0.5294117647058824
66,94,98,211,4349538,187.5,0.32653061224489793,0.3843137254901961
71,70,89,212,4671065,243.1578947368421,0.2134831460674156,0.34901960784313724
76,104,113,213,5007473,194.59459459459458,0.327433628318584,0.44313725490196076
77,100,109,214,5071981,196.875,0.29357798165137616,0.42745098039215684
37,52,78,215,2438222,218.0487804878049,0.5256410256410257,0.3058823529411765
107,117,116,216,7042420,174.0,0.08547008547008542,0.4588235294117647
120,117,127,217,7894399,258.0,0.07874015748031502,0.4980392156862745
117,127,123,218,7700347,156.00000000000003,0.07874015748031502,0.4980392156862745
109,127,121,219,7176057,160.0,0.14173228346456698,0.4980392156862745
121,112,109,220,7958637,15.0,0.09917355371900827,0.4745098039215686
115,145,142,221,7573902,174.00000000000003,0.2068965517241379,0.5686274509803921
90,96,110,222,5922926,222.00000000000003,0.1818181818181818,0.43137254901960786
163,106,135,223,10709639,329.4736842105263,0.34969325153374226,0.6392156862745098
160,113,135,224,10514823,331.9148936170213,0.29375,0.6274509803921569
139,95,123,225,9133947,321.8181818181818,0.316546762589928,0.5450980392156862
89,61,82,226,5848402,315.0,0.31460674157303364,0.34901960784313724
86,73,94,227,5654878,277.14285714285717,0.22340425531914904,0.3686274509803922
105,104,106,228,6908010,269.9999999999998,0.018867924528301952,0.41568627450980394
70,65,55,229,4604215,39.99999999999994,0.2142857142857143,0.27450980392156865
144,86,124,230,9459324,320.6896551724138,0.40277777777777773,0.5647058823529412
102,92,110,231,6708334,273.33333333333337,0.1636363636363637,0.43137254901960786
36,70,106,232,2377322,210.85714285714286,0.6603773584905661,0.41568627450980394
79,104,132,233,5204100,211.69811320754718,0.40151515151515155,0.5176470588235295
66,57,54,234,4340022,15.0,0.1818181818181819,0.25882352941176473
88,100,103,235,5792871,192.0,0.14563106796116507,0.403921568627451
52,55,82,236,3422034,234.0,0.3658536585365854,0.3215686274509804
53,52,76,237,3486796,242.5,0.3157894736842105,0.2980392156862745
23,23,25,238,1513241,240.0,0.08,0.09803921568627451
17,21,26,239,1119514,213.33333333333334,0.34615384615384615,0.10196078431372549
35,38,36,240,2303524,139.99999999999994,0.07894736842105254,0.14901960784313725
68,61,64,241,4472128,334.2857142857143,0.10294117647058819,0.26666666666666666
67,50,60,242,4403772,324.70588235294116,0.25373134328358216,0.2627450980392157
122,107,107,243,8022891,0.0,0.12295081967213117,0.47843137254901963
53,64,78,244,3489870,213.60000000000002,0.32051282051282054,0.3058823529411765
73,74,95,245,4803167,237.27272727272725,0.2315789473684211,0.37254901960784315
80,82,101,246,5263973,234.28571428571428,0.20792079207920788,0.396078431372549
91,82,97,247,5984865,276.0,0.15463917525773185,0.3803921568627451
76,76,87,248,5000279,240.0,0.12643678160919544,0.3411764705882353
96,69,70,249,6309190,357.77777777777777,0.28125000000000006,0.3764705882352941
58,59,68,250,3816260,233.99999999999997,0.14705882352941177,0.26666666666666666
96,93,95,251,6315359,319.9999999999999,0.031250000000000035,0.3764705882352941
21,29,44,252,1383724,219.1304347826087,0.5227272727272727,0.17254901960784313
11,36,49,253,730161,200.5263157894737,0.7755102040816327,0.19215686274509805
14,39,54,254,927542,202.5,0.7407407407407407,0.21176470588235294
38,47,57,255,2502457,211.57894736842104,0.33333333333333337,0.2235294117647059
26,36,53,256,1713205,217.77777777777777,0.5094339622641509,0.20784313725490197
37,49,72,257,2437448,219.42857142857142,0.48611111111111105,0.2823529411764706
80,89,114,258,5265778,224.11764705882354,0.29824561403508776,0.4470588235294118
32,26,70,259,2103878,248.1818181818182,0.6285714285714286,0.27450980392156865
52,43,88,260,3418968,252.0,0.5113636363636364,0.34509803921568627
54,44,86,261,3550294,254.28571428571428,0.48837209302325585,0.33725490196078434
51,52,98,262,3355746,238.72340425531917,0.47959183673469385,0.3843137254901961
42,28,75,263,2759755,257.8723404255319,0.6266666666666667,0.29411764705882354
51,48,85,264,3354709,244.86486486486487,0.4352941176470588,0.3333333333333333
56,53,94,265,3683678,244.390243902439,0.43617021276595747,0.3686274509803922
30,24,70,266,1972294,247.82608695652175,0.6571428571428571,0.27450980392156865
15,20,65,267,988225,234.0,0.7692307692307692,0.2549019607843137
66,60,108,268,4340844,247.5,0.4444444444444444,0.4235294117647059
46,56,92,269,3029084,226.95652173913044,0.5,0.3607843137254902
34,38,77,270,2238029,234.41860465116278,0.5584415584415584,0.30196078431372547
38,41,70,271,2500934,234.375,0.4571428571428572,0.27450980392156865
40,41,71,272,2632007,238.06451612903226,0.4366197183098592,0.2784313725490196
